"subbasin","deluid","deluname","lutype","area_ac","slsur","lsur"
6389,15132,"Veg_High-A-High-Unconfined",2,0,0.01,400
6389,15221,"Veg_High-B-Med-Confined",2,0,0.01,300
6389,15222,"Veg_High-B-Med-Unconfined",2,0,0.01,300
6389,15231,"Veg_High-B-High-Confined",2,0,0.01,400
6389,15232,"Veg_High-B-High-Unconfined",2,0,0.01,400
6389,15321,"Veg_High-C-Med-Confined",2,14.144985,0.12,300
6389,15322,"Veg_High-C-Med-Unconfined",2,0,0.01,300
6389,15331,"Veg_High-C-High-Confined",2,0,0.01,400
6389,15332,"Veg_High-C-High-Unconfined",2,0,0.01,400
6389,15421,"Veg_High-D-Med-Confined",2,62.076131,0.1,300
6389,15422,"Veg_High-D-Med-Unconfined",2,6.518015,0.01,300
6389,15431,"Veg_High-D-High-Confined",2,0.049931,0.11,400
6389,15432,"Veg_High-D-High-Unconfined",2,0,0.01,400
6389,16000,"Water-All-All-All",1,13.395035,0.01,100
6390,1000,"Road_Freeway-All-All-All",1,1.828683,0.01,100
6390,2000,"Road_Primary-All-All-All",1,8.744109,0.04,100
6390,3000,"Road_Minor-All-All-All",1,24.346205,0.04,100
6390,4000,"Dev_ResHigh-All-All-All",1,8.902884,0.02,100
6390,5000,"Dev_ResLow-All-All-All",1,76.642426,0.08,100
6390,6000,"Dev_Com-All-All-All",1,6.1222,0.03,100
6390,7000,"Dev_Ind-All-All-All",1,1.136299,0.04,100
6390,8000,"Dev_Inst-All-All-All",1,2.407372,0.01,100
6390,9000,"Dev_Roof-All-All-All",1,40.757753,0.05,100
6390,10000,"Dev_Overspray-All-All-All",1,3.474263,0.06,100
6390,11111,"Dev_Irrigated-A-Low-Confined",2,0,0.01,400
6390,11112,"Dev_Irrigated-A-Low-Unconfined",2,0,0.01,400
6390,11121,"Dev_Irrigated-A-Med-Confined",2,0,0.01,300
6390,11122,"Dev_Irrigated-A-Med-Unconfined",2,0,0.01,300
6390,11211,"Dev_Irrigated-B-Low-Confined",2,0,0.01,400
6390,11212,"Dev_Irrigated-B-Low-Unconfined",2,0,0.01,400
6390,11221,"Dev_Irrigated-B-Med-Confined",2,0,0.01,300
6390,11222,"Dev_Irrigated-B-Med-Unconfined",2,0,0.01,300
6390,11311,"Dev_Irrigated-C-Low-Confined",2,6.27541,0.09,400
6390,11312,"Dev_Irrigated-C-Low-Unconfined",2,0,0.01,400
6390,11321,"Dev_Irrigated-C-Med-Confined",2,59.997719,0.15,300
6390,11322,"Dev_Irrigated-C-Med-Unconfined",2,0,0.01,300
6390,11411,"Dev_Irrigated-D-Low-Confined",2,0,0.08,400
6390,11412,"Dev_Irrigated-D-Low-Unconfined",2,0,0.01,400
6390,11421,"Dev_Irrigated-D-Med-Confined",2,3.212124,0.06,300
6390,11422,"Dev_Irrigated-D-Med-Unconfined",2,0,0.01,300
6390,12111,"Dev_Pervious-A-Low-Confined",2,0,0.01,400
6390,12112,"Dev_Pervious-A-Low-Unconfined",2,0,0.01,400
6390,12121,"Dev_Pervious-A-Med-Confined",2,0,0.01,300
6390,12122,"Dev_Pervious-A-Med-Unconfined",2,0,0.01,300
6390,12211,"Dev_Pervious-B-Low-Confined",2,0,0.01,400
6390,12212,"Dev_Pervious-B-Low-Unconfined",2,0,0.01,400
6390,12221,"Dev_Pervious-B-Med-Confined",2,0,0.01,300
6390,12222,"Dev_Pervious-B-Med-Unconfined",2,0,0.01,300
6390,12311,"Dev_Pervious-C-Low-Confined",2,16.174526,0.08,400
6390,12312,"Dev_Pervious-C-Low-Unconfined",2,0,0.01,400
6390,12321,"Dev_Pervious-C-Med-Confined",2,154.640826,0.12,300
6390,12322,"Dev_Pervious-C-Med-Unconfined",2,0,0.01,300
6390,12411,"Dev_Pervious-D-Low-Confined",2,0,0.01,400
6390,12412,"Dev_Pervious-D-Low-Unconfined",2,0,0.01,400
6390,12421,"Dev_Pervious-D-Med-Confined",2,8.279072,0.07,300
6390,12422,"Dev_Pervious-D-Med-Unconfined",2,0,0.01,300
6390,13111,"Agriculture-A-Low-Confined",2,0,0.01,400
6390,13112,"Agriculture-A-Low-Unconfined",2,0,0.01,400
6390,13121,"Agriculture-A-Med-Confined",2,0,0.01,300
6390,13122,"Agriculture-A-Med-Unconfined",2,0,0.01,300
6390,13211,"Agriculture-B-Low-Confined",2,0,0.01,400
6390,13212,"Agriculture-B-Low-Unconfined",2,0,0.01,400
6390,13221,"Agriculture-B-Med-Confined",2,0,0.01,300
6390,13222,"Agriculture-B-Med-Unconfined",2,0,0.01,300
6390,13231,"Agriculture-B-High-Confined",2,0,0.01,400
6390,13232,"Agriculture-B-High-Unconfined",2,0,0.01,400
6390,13311,"Agriculture-C-Low-Confined",2,0,0.01,400
6390,13312,"Agriculture-C-Low-Unconfined",2,0,0.01,400
6390,13321,"Agriculture-C-Med-Confined",2,0,0.01,300
6390,13322,"Agriculture-C-Med-Unconfined",2,0,0.01,300
6390,13331,"Agriculture-C-High-Confined",2,0,0.01,400
6390,13411,"Agriculture-D-Low-Confined",2,0,0.01,400
6390,13412,"Agriculture-D-Low-Unconfined",2,0,0.01,400
6390,13421,"Agriculture-D-Med-Confined",2,0,0.01,300
6390,13422,"Agriculture-D-Med-Unconfined",2,0,0.01,300
6390,13431,"Agriculture-D-High-Confined",2,0,0.01,400
6390,13432,"Agriculture-D-High-Unconfined",2,0,0.01,400
6390,14121,"Veg_Low-A-Med-Confined",2,0,0.01,300
6390,14122,"Veg_Low-A-Med-Unconfined",2,0,0.01,300
6390,14131,"Veg_Low-A-High-Confined",2,0,0.01,400
6390,14132,"Veg_Low-A-High-Unconfined",2,0,0.01,400
6390,14221,"Veg_Low-B-Med-Confined",2,0,0.01,300
6390,14222,"Veg_Low-B-Med-Unconfined",2,0,0.01,300
6390,14231,"Veg_Low-B-High-Confined",2,0,0.01,400
6390,14232,"Veg_Low-B-High-Unconfined",2,0,0.01,400
6390,14321,"Veg_Low-C-Med-Confined",2,63.232981,0.14,300
6390,14322,"Veg_Low-C-Med-Unconfined",2,0,0.01,300
6390,14331,"Veg_Low-C-High-Confined",2,0.39434,0.2,400
6390,14332,"Veg_Low-C-High-Unconfined",2,0,0.01,400
6390,14421,"Veg_Low-D-Med-Confined",2,2.680255,0.08,300
6390,14422,"Veg_Low-D-Med-Unconfined",2,0,0.01,300
6390,14431,"Veg_Low-D-High-Confined",2,0,0.01,400
6390,14432,"Veg_Low-D-High-Unconfined",2,0,0.01,400
6390,15121,"Veg_High-A-Med-Confined",2,0,0.01,300
6390,15122,"Veg_High-A-Med-Unconfined",2,0,0.01,300
6390,15131,"Veg_High-A-High-Confined",2,0,0.01,400
6390,15132,"Veg_High-A-High-Unconfined",2,0,0.01,400
6390,15221,"Veg_High-B-Med-Confined",2,0,0.01,300
6390,15222,"Veg_High-B-Med-Unconfined",2,0,0.01,300
6390,15231,"Veg_High-B-High-Confined",2,0,0.01,400
6390,15232,"Veg_High-B-High-Unconfined",2,0,0.01,400
6390,15321,"Veg_High-C-Med-Confined",2,120.691554,0.14,300
6390,15322,"Veg_High-C-Med-Unconfined",2,0,0.01,300
6390,15331,"Veg_High-C-High-Confined",2,0,0.01,400
6390,15332,"Veg_High-C-High-Unconfined",2,0,0.01,400
6390,15421,"Veg_High-D-Med-Confined",2,4.321973,0.14,300
6390,15422,"Veg_High-D-Med-Unconfined",2,0,0.01,300
6390,15431,"Veg_High-D-High-Confined",2,0,0.01,400
6390,15432,"Veg_High-D-High-Unconfined",2,0,0.01,400
6390,16000,"Water-All-All-All",1,0,0.01,100
6391,1000,"Road_Freeway-All-All-All",1,17.291816,0.05,100
6391,2000,"Road_Primary-All-All-All",1,36.426836,0.06,100
6391,3000,"Road_Minor-All-All-All",1,50.550909,0.09,100
6391,4000,"Dev_ResHigh-All-All-All",1,4.565788,0.07,100
6391,5000,"Dev_ResLow-All-All-All",1,81.792774,0.07,100
6391,6000,"Dev_Com-All-All-All",1,45.388914,0.02,100
6391,7000,"Dev_Ind-All-All-All",1,31.560197,0.01,100
6391,8000,"Dev_Inst-All-All-All",1,94.522697,0.02,100
6391,9000,"Dev_Roof-All-All-All",1,129.398786,0.04,100
6391,10000,"Dev_Overspray-All-All-All",1,1.598744,0.08,100
6391,11111,"Dev_Irrigated-A-Low-Confined",2,0,0.01,400
6391,11112,"Dev_Irrigated-A-Low-Unconfined",2,0,0.01,400
6391,11121,"Dev_Irrigated-A-Med-Confined",2,0,0.01,300
6391,11122,"Dev_Irrigated-A-Med-Unconfined",2,0,0.01,300
6391,11211,"Dev_Irrigated-B-Low-Confined",2,2.322762,0.03,400
